Prod,InqOrProj,ProjType,Type,Ind,IndSub,Replacement,NetValue,Date,LeadTime,CustNum,Outcome
Bear,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,1376,1/30/2015,5,557,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,30220,4/8/2014,15,110,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18824,4/27/2015,16,111,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,31890,1/31/2014,15,2,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,53338,11/20/2014,10,452,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,18256,4/25/2014,20,162,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,28318,1/21/2015,20,452,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,6885,1/23/2014,6,191,Lost
Armadillo2,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,187707,9/17/2014,26,239,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,15745,3/18/2014,8,30,Won
Panther,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,27195,5/1/2014,22,549,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,51388,2/12/2015,18,452,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,71969,5/8/2014,18,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,87483,6/23/2014,18,352,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,189697,2/25/2015,36,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,28695,8/23/2014,13,544,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2433,6/24/2014,6,30,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,57217,12/23/2014,18,590,Won
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,64491,8/27/2014,16,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,7690,9/10/2014,12,452,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,111985,4/13/2014,20,352,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,10267,12/13/2014,8,452,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,53776,2/18/2015,28,30,Lost
Gorilla,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,146927,5/8/2015,32,549,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,37001,3/14/2014,20,550,Lost
Horse,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,1394,5/10/2014,15,2,Lost
Ox,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,15814,4/8/2015,6,29,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,11773,8/15/2014,11,557,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,17639,2/28/2015,12,352,Lost
Horse,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,580,8/19/2014,6,92,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6607,12/15/2014,10,122,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5676,1/5/2015,12,452,Lost
Moose,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,388500,1/2/2014,36,701,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3720,3/21/2014,6,452,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11324,12/4/2014,10,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,19092,4/14/2014,20,452,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,32673,6/20/2014,16,2,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,41937,9/17/2014,16,30,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23517,4/10/2015,10,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,57490,2/21/2014,9,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3663,11/12/2014,8,311,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3379,12/8/2014,5,352,Lost
Moose,INQUIRY,Eng/Eng,IC / End User,Pulp & Paper,"Corrugated Paper, Paperboard & Containers",No,291004,1/31/2014,42,481,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,20368,5/14/2015,14,473,Lost
Yak1,INQUIRY,Std/Std,IC / End User,Distribution,Distributor,Yes,46065,5/15/2015,18,313,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,24553,5/14/2014,10,452,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,15346,6/24/2014,11,598,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,64380,1/17/2014,17,477,Lost
Rhino,INQUIRY,Std/Std,OEM,Energy,Compressors - Reciprocating,No,22454,7/30/2014,15,671,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,36460,8/15/2014,8,30,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Other Food and Beverage,Other Food & Beverage Process,No,25041,8/27/2014,11,171,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4370,4/19/2014,8,452,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,55700,10/14/2014,18,452,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,4120,4/9/2014,6,300,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,490356,3/2/2015,38,352,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,15538,5/2/2014,18,452,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,14252,1/27/2015,6,452,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,114201,6/3/2014,22,85,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,26544,10/4/2014,20,452,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,999,7/9/2014,6,88,Lost
Ox,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,Yes,10346,5/29/2014,9,210,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9102,8/4/2014,6,30,Lost
Brown Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,16062,9/25/2014,20,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,45666,1/14/2014,8,452,Won
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,356280,11/12/2014,30,352,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,35670,2/27/2015,20,549,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,38055,9/20/2014,13,452,Lost
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,14607,4/16/2015,18,352,Lost
Ox,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,8880,1/13/2014,8,557,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3996,9/2/2014,8,452,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,15540,2/28/2014,8,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,49709,10/7/2014,18,213,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4607,8/21/2014,7,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6140,4/25/2014,6,77,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10208,4/22/2014,6,452,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,24191,3/28/2015,16,2,Lost
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,66796,12/22/2014,10,452,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,185739,10/31/2014,16,548,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9768,3/19/2015,6,92,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,64935,2/2/2015,18,30,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,16317,2/2/2015,10,30,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,7257,10/15/2014,7,452,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,945,4/2/2015,5,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,16687,4/4/2014,7,30,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,Yes,1652454,5/4/2015,24,416,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,11100,12/16/2014,6,452,Won
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,119179,10/4/2014,18,548,Lost
Panther,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,3956,7/13/2014,6,30,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,1743,11/3/2014,7,342,Won
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,10626,1/16/2015,16,191,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Agriculture & Farm,Farming Machinery & Equipment,Yes,114362,3/13/2014,17,278,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,55795,3/3/2014,22,30,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,27717,3/18/2014,22,110,Lost
Badger,INQUIRY,Eng/Eng,OEM,Other Food and Beverage,Other Food & Beverage Process,Yes,51325,9/8/2014,24,171,Won
Bear,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,6018,4/16/2014,6,609,Lost
Panther,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,5301,9/10/2014,6,30,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,29095,8/16/2014,14,213,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,28860,8/15/2014,9,30,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Pumping / Fluid Handling Equipment,No,40044,3/18/2015,13,695,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,24808,5/3/2014,22,29,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,32682,5/19/2015,10,452,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,14430,1/13/2014,6,300,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,4336,2/10/2014,8,296,Lost
Rhino,INQUIRY,Eng/Eng,IC / End User,Energy,Other Renewable Pwr Gen,No,276267,6/23/2014,18,385,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,15062,10/28/2014,10,561,Lost
Rhino,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,1505405,1/7/2014,36,83,Lost
Yak2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,541560,3/2/2015,34,212,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,254527,5/30/2015,22,553,Won
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,74370,5/23/2014,20,392,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Energy,Other,No,87824,4/22/2014,17,377,Lost
Yak2,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,210700,5/27/2014,18,29,Lost
Armadillo2,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,145314,5/14/2015,22,549,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,50455,2/21/2014,22,30,Lost
Ox,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,24042,2/13/2015,12,621,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,1665,5/9/2014,12,29,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,88732,8/20/2014,19,30,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,58177,4/20/2015,12,288,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,8780,6/25/2014,8,452,Lost
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,34419,1/16/2015,18,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,5473,3/9/2015,9,30,Won
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,3082,2/21/2015,6,583,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,10890,1/16/2014,15,386,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10727,4/23/2014,16,451,Lost
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,28982,3/24/2014,15,431,Lost
Rhino,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,66600,4/9/2014,18,2,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,24328,4/15/2015,24,452,Lost
Moose,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,587911,11/26/2014,38,553,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,37740,6/28/2014,14,216,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,238628,2/13/2014,26,13,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,52370,6/2/2014,17,452,Won
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11073,3/4/2014,12,452,Won
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,72216,8/3/2014,15,2,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,2662,5/5/2015,5,30,Lost
Horse,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,1844,1/30/2014,4.2,30,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,39418,8/29/2014,16,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,47363,1/12/2015,12,122,Lost
Ox,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,No,9102,1/3/2014,8,598,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,38318,4/24/2014,13,337,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,11942,5/8/2014,6,452,Lost
Elephant,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Asphalt Processing and Paving Equipment,No,44014,10/18/2014,10,297,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,26081,12/4/2014,16,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,30248,5/2/2014,15,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,28169,7/2/2014,15,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,13578,2/14/2014,13,67,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,1665,7/7/2014,5,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,171385,9/4/2014,24,543,Lost
Elephant,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,21934,5/16/2014,10,67,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,49399,9/2/2014,13,30,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10184,4/30/2014,6,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,15002,2/11/2014,10,352,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1090,3/13/2015,13,30,Lost
Armadillo1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,100145,7/28/2014,22,67,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,53115,5/8/2014,22,452,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,50008,11/1/2014,12,452,Lost
Horse,INQUIRY,Std/Std,IC / End User,Pulp & Paper,Pulp and Paper Production,No,1757,1/9/2014,6,317,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,14437,5/17/2015,12,352,Won
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,135309,9/18/2014,18,204,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,41832,7/18/2014,17,30,Lost
Panther,INQUIRY,Eng/Eng,OEM,Construction Machinery (non-Mining),Construction Machinery Manufacturing,No,4492,12/16/2014,6,645,Lost
Yak2,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,174747,8/19/2014,20,30,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,76423,1/15/2014,30,452,Lost
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,661514,1/13/2015,20,238,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,24064,2/26/2015,16,67,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,98805,4/10/2015,18,352,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3847,3/18/2015,4.2,451,Lost
Rhino,INQUIRY,Eng/Eng,IC / End User,General Industrial,Other General Industrial,Yes,23150,2/28/2014,13,542,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,No,55500,2/16/2015,18,203,Lost
Moose,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,24453,3/3/2015,34,2,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,3077,8/19/2014,6,452,Lost
Rhino,INQUIRY,Std/Std,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,15007,9/3/2014,18,412,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,60544,1/19/2015,12,2,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,4777,9/10/2014,7,625,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,4884,10/27/2014,8,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,Yes,39766,5/21/2015,22,553,Won
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Other,Yes,66267,1/27/2014,18,341,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,144233,10/2/2014,18,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,99188,5/21/2014,22,72,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,31011,9/24/2014,18,352,Lost
Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,10909,12/23/2014,6,452,Lost
Elephant,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,9435,8/28/2014,8,2,Won
Rhino,INQUIRY,Eng/Eng,OEM,Cement & Aggregates,Asphalt Processing and Paving Equipment,No,14590,5/16/2014,16,152,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,1665,4/12/2014,6,30,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,74370,12/3/2014,18,2,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,No,51259,12/18/2014,20,696,Lost
Brown Bear,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,50237,2/12/2015,24,119,Lost
Panther,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,1760,8/28/2014,8,342,Won
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,23231,2/26/2015,16,67,Lost
Rhino,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,77400,8/10/2014,20,2,Lost
Rhino,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,68003,3/18/2014,15,43,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,26381,4/23/2015,10,77,Lost
Moose,INQUIRY,Eng/Eng,IC / End User,Wood Products,Sawmilling and Planing,No,57675,9/6/2014,64,317,Won
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,244315,9/23/2014,36,452,Lost
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,409923,7/18/2014,20,687,Lost
Horse,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,No,4508,8/12/2014,12,561,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,18564,4/15/2014,13,69,Lost
Elephant,PROJECT,Eng/Eng,OEM,General Industrial,Other General Industrial,No,14543,5/13/2015,8,335,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,106232,3/21/2015,22,280,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,19494,11/15/2014,22,452,Lost
Lion,INQUIRY,Std/Std,OEM,General Industrial,Material Handling,Yes,829,1/21/2015,5,155,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9990,2/24/2015,6,30,Lost
Yak2,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,216728,7/30/2014,20,30,Lost
Elephant,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,Yes,29022,2/25/2015,10,482,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,33355,2/12/2014,7,55,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,21142,1/29/2015,23,549,Lost
Rhino,INQUIRY,Std/Std,OEM,General Industrial,Other General Industrial,No,48507,5/8/2014,18,416,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,8184,3/18/2014,6,88,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,63651,2/2/2015,24,227,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,3335,4/18/2015,6,452,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,18271,1/23/2014,17,2,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,9439,8/18/2014,6,30,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,6328,1/24/2015,9,451,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,34573,4/13/2015,26,2,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,35662,2/7/2014,18,300,Lost
Ox,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,101311,8/14/2014,12,553,Lost
Elephant,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,19060,3/18/2015,7,452,Won
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,34965,7/3/2014,20,2,Lost
Panther,INQUIRY,Eng/Eng,OEM,General Industrial,Material Handling,No,997,8/15/2014,6,155,Lost
Rhino,INQUIRY,Eng/Eng,Intercompany,Intercompany,Intercompany,No,61525,10/10/2014,12,548,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,57165,1/20/2014,16,352,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,5387,1/24/2015,6,30,Lost
Yak2,INQUIRY,Std/Std,OEM,Pulp & Paper,Pulp and Paper Production,No,499500,12/12/2014,40,263,Lost
Elephant,INQUIRY,Eng/Eng,OEM,General Industrial,Textile,No,35381,10/24/2014,7,151,Lost
Gorilla,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,21081,5/8/2015,14,452,Won
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,39700,9/16/2014,14,452,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,33186,6/11/2014,12,30,Won
Gorilla,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,34410,1/16/2015,18,616,Lost
Yak1,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,25486,3/31/2015,16,452,Lost
Armadillo1,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,21318,7/22/2014,17,67,Lost
Horse,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3605,4/4/2014,6,92,Lost
Elephant,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,3885,9/9/2014,8,394,Lost
Elephant,INQUIRY,Std/Std,Intercompany,Intercompany,Intercompany,Yes,21216,5/30/2014,16,549,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,55333,12/4/2014,26,451,Won
Rhino,PROJECT,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,No,319123,3/5/2015,22,431,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,36852,7/30/2014,17,185,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,66310,3/9/2015,8,30,Lost
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,49873,4/10/2015,40,30,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,148007,3/7/2014,22,141,Lost
Bear,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,No,2991,7/15/2014,6,210,Won
Rhino,INQUIRY,Eng/Eng,OEM,Mining,Mining Equipment - Material Handling/Processing - Surface,Yes,41041,2/14/2015,18,119,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,6105,10/28/2014,5,300,Lost
Lion,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,745,7/17/2014,5,452,Lost
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,5994,1/22/2014,6,650,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,55120,10/14/2014,16,30,Lost
Elephant,INQUIRY,Std/Std,Unknown,Unknown,Unknown,Yes,10101,2/10/2015,8,352,Lost
